,code,date,ar1,ar2,ar3,ar4,ar5,car1,car2,car3,car4,car5
0,1332,2020-03-01,,,,,,,,,,
1,1332,2020-03-15,,,,,,,,,,
2,1414,2021-01-17,0.026112130948205692,-0.006504820660166201,-0.0313798946903905,0.02449532142367045,-0.017922188818710102,0.026112130948205692,0.01960731028803949,-0.01177258440235101,0.01272273702131944,-0.005199451797390661
3,1417,2020-03-01,,,,,,,,,,
4,1417,2020-03-15,,,,,,,,,,
5,1605,2020-03-15,,,,,,,,,,
6,1721,2020-02-23,,,,,,,,,,
7,1721,2020-03-01,,,,,,,,,,
8,1801,2020-03-15,,,,,,,,,,
9,1802,2020-03-15,,,,,,,,,,
10,1803,2020-03-15,,,,,,,,,,
11,1808,2018-11-18,,,,,,,,,,
12,1808,2020-03-15,,,,,,,,,,
13,1812,2020-03-01,,,,,,,,,,
14,1820,2018-02-11,,,,,,,,,,
15,1820,2019-05-19,,,,,,,,,,
16,1820,2019-05-26,,,,,,,,,,
17,1820,2020-03-15,,,,,,,,,,
18,1860,2020-03-15,,,,,,,,,,
19,1860,2020-10-25,0.014325875615587434,-0.028672798018394077,-0.029826278119809396,-0.013502736981551685,-0.045946233539677125,0.014325875615587434,-0.014346922402806644,-0.04417320052261604,-0.05767593750416773,-0.10362217104384486
20,1861,2020-03-01,,,,,,,,,,
21,1861,2020-03-08,,,,,,,,,,
22,1861,2020-03-15,,,,,,,,,,
23,1878,2018-08-12,,,,,,,,,,
24,1878,2019-05-12,,,,,,,,,,
25,1878,2020-03-01,,,,,,,,,,
26,1893,2020-03-01,,,,,,,,,,
27,1893,2020-03-08,,,,,,,,,,
28,1893,2020-03-15,,,,,,,,,,
29,1911,2020-03-15,,,,,,,,,,
30,1925,2019-04-21,,,,,,,,,,
31,1925,2020-03-15,,,,,,,,,,
32,1928,2020-03-01,,,,,,,,,,
33,1928,2020-03-08,,,,,,,,,,
34,1928,2020-03-15,,,,,,,,,,
35,1942,2020-03-01,,,,,,,,,,
36,1942,2020-03-08,,,,,,,,,,
37,1942,2020-03-15,,,,,,,,,,
38,1951,2020-03-01,,,,,,,,,,
39,1951,2020-03-15,,,,,,,,,,
40,1959,2018-08-05,,,,,,,,,,
41,1959,2018-08-12,,,,,,,,,,
42,2181,2020-02-23,,,,,,,,,,
43,2181,2020-03-01,,,,,,,,,,
44,2201,2020-02-23,,,,,,,,,,
45,2201,2020-03-01,,,,,,,,,,
46,2264,2022-05-15,0.0359827081345717,-0.03283680457536217,-0.0005437032856849024,-0.058040057682325605,0.04721630465907476,0.0359827081345717,0.0031459035592095314,0.002602200273524629,-0.05543785740880097,-0.008221552749726212
47,2281,2018-02-11,,,,,,,,,,
48,2281,2020-03-01,,,,,,,,,,
49,2281,2020-03-15,,,,,,,,,,
50,2282,2020-03-01,,,,,,,,,,
51,2282,2020-03-15,,,,,,,,,,
52,2282,2020-03-22,,,,,,,,,,
53,2331,2020-03-01,,,,,,,,,,
54,2331,2020-03-15,,,,,,,,,,
55,2371,2022-06-19,0.1369884334938401,0.027973480810779248,0.032970548404219736,0.007367113005916349,0.07861484143077682,0.1369884334938401,0.16496191430461934,0.19793246270883907,0.20529957571475543,0.2839144171455322
56,2384,2020-03-15,,,,,,,,,,
57,2502,2020-03-01,,,,,,,,,,
58,2502,2020-03-08,,,,,,,,,,
59,2502,2020-03-15,,,,,,,,,,
60,2503,2018-08-12,,,,,,,,,,
61,2531,2020-03-15,,,,,,,,,,
62,2531,2022-05-29,-0.028966203053675713,0.022864137406809856,0.07618971815312665,0.032876155520390055,0.0175038832211586,-0.028966203053675713,-0.006102065646865856,0.0700876525062608,0.10296380802665085,0.12046769124780946
63,2587,2020-03-01,,,,,,,,,,
64,2587,2020-03-15,,,,,,,,,,
65,2651,2020-03-15,,,,,,,,,,
66,2670,2020-03-01,,,,,,,,,,
67,2670,2020-03-15,,,,,,,,,,
68,2702,2020-03-01,,,,,,,,,,
69,2768,2020-03-01,,,,,,,,,,
70,2768,2020-03-08,,,,,,,,,,
71,2768,2020-03-15,,,,,,,,,,
72,2801,2020-03-15,,,,,,,,,,
73,2802,2019-02-03,,,,,,,,,,
74,2809,2018-04-08,,,,,,,,,,
75,2809,2018-04-15,,,,,,,,,,
76,2811,2020-03-01,,,,,,,,,,
77,2811,2020-03-15,,,,,,,,,,
78,2875,2020-03-15,,,,,,,,,,
79,2914,2018-02-11,,,,,,,,,,
80,3003,2018-08-12,,,,,,,,,,
81,3003,2020-03-15,,,,,,,,,,
82,3116,2020-03-15,,,,,,,,,,
83,3167,2020-03-01,,,,,,,,,,
84,3231,2020-03-15,,,,,,,,,,
85,3231,2020-03-22,,,,,,,,,,
86,3254,2019-12-22,,,,,,,,,,
87,3288,2020-03-15,,,,,,,,,,
88,3288,2020-03-22,,,,,,,,,,
89,3289,2020-03-15,,,,,,,,,,
90,3289,2020-03-22,,,,,,,,,,
91,3291,2020-03-01,,,,,,,,,,
92,3349,2018-01-14,,,,,,,,,,
93,3360,2020-03-15,,,,,,,,,,
94,3382,2020-03-15,,,,,,,,,,
95,3401,2020-03-01,,,,,,,,,,
96,3401,2020-03-15,,,,,,,,,,
97,3402,2020-03-08,,,,,,,,,,
98,3402,2020-03-15,,,,,,,,,,
99,3405,2018-02-11,,,,,,,,,,
100,3405,2020-03-01,,,,,,,,,,
101,3405,2020-03-08,,,,,,,,,,
102,3405,2020-03-15,,,,,,,,,,
103,3407,2019-08-04,,,,,,,,,,
104,3407,2019-08-11,,,,,,,,,,
105,3407,2020-03-01,,,,,,,,,,
106,3436,2020-03-15,,,,,,,,,,
107,3436,2020-03-22,,,,,,,,,,
108,3465,2020-03-01,,,,,,,,,,
109,3626,2020-03-15,,,,,,,,,,
110,3626,2020-03-22,,,,,,,,,,
111,3659,2019-08-11,,,,,,,,,,
112,3861,2020-03-15,,,,,,,,,,
113,3880,2020-09-13,0.009308594625372452,0.03294595629767206,0.047637103150406396,0.01698547778656578,-0.033131021387088885,0.009308594625372452,0.04225455092304451,0.0898916540734509,0.10687713186001668,0.0737461104729278
114,4005,2020-03-01,,,,,,,,,,
115,4005,2020-03-15,,,,,,,,,,
116,4021,2020-03-15,,,,,,,,,,
117,4021,2020-03-22,,,,,,,,,,
118,4042,2018-02-11,,,,,,,,,,
119,4042,2018-10-28,,,,,,,,,,
120,4042,2020-03-15,,,,,,,,,,
121,4043,2020-03-01,,,,,,,,,,
122,4043,2020-03-15,,,,,,,,,,
123,4043,2020-03-22,,,,,,,,,,
124,4061,2019-08-11,,,,,,,,,,
125,4061,2020-03-15,,,,,,,,,,
126,4062,2020-03-15,,,,,,,,,,
127,4063,2020-03-15,,,,,,,,,,
