,code,date,ar1,ar2,ar3,ar4,ar5,car1,car2,car3,car4,car5
1046,6089,2019-02-12,0.03086456209139904,-0.01433235168125146,-0.01140062358268262,0.0025470696287325824,-0.02830330679894808,0.03086456209139904,0.01653221041014758,0.005131586827464962,0.007678656456197544,-0.020624650342750538
1047,6089,2019-06-20,-0.05009973636048781,-0.03712437581380182,0.012597257488944004,-0.010576305889143841,0.011947359688885677,-0.05009973636048781,-0.08722411217428963,-0.07462685468534563,-0.08520316057448947,-0.0732558008856038
1048,6089,2019-09-20,-0.006085632771157253,-0.02713893160170707,-0.004615097150813114,0.015617602192510013,-0.0372674300039547,-0.006085632771157253,-0.03322456437286432,-0.03783966152367743,-0.02222205933116742,-0.05948948933512212
1049,6089,2021-01-25,-0.046674745288396345,0.010776646973319566,-0.0005071469923108854,0.006822287010809613,-0.00011236152428075775,-0.046674745288396345,-0.03589809831507678,-0.03640524530738767,-0.029582958296578053,-0.02969531982085881
1050,6089,2021-08-10,0.06878533347814682,0.010551235989682366,0.022637351855358652,0.00866394605535574,-0.004919829817924515,0.06878533347814682,0.07933656946782919,0.10197392132318783,0.11063786737854357,0.10571803756061905
1051,6089,2021-08-11,0.010434018346452916,0.022529787357247734,0.008588596816017254,-0.005009352284379272,0.0007865540496083297,0.010434018346452916,0.03296380570370065,0.04155240251971791,0.03654305023533864,0.03732960428494697
1052,6089,2021-11-10,-0.027512803499920135,0.003949119701490138,0.005646339705579822,-0.011141339554182379,-0.00031987919204831683,-0.027512803499920135,-0.023563683798429998,-0.017917344092850174,-0.029058683647032554,-0.02937856283908087
1053,6099,2017-08-30,,,,,,,,,,
1054,6099,2019-06-07,-0.0043840319480084045,-0.011112434694493332,0.013653250615285195,-0.024414195281277515,0.04356861930815153,-0.0043840319480084045,-0.015496466642501736,-0.0018432160272165415,-0.026257411308494058,0.01731120799965747
1055,6099,2020-01-16,0.0004760842809090494,-0.013178472811571711,0.009430618147405983,-0.009282362336259588,-0.00918933960712891,0.0004760842809090494,-0.012702388530662662,-0.0032717703832566784,-0.012554132719516267,-0.021743472326645176
1056,6099,2020-02-13,-0.029040084174557983,0.014070265114924669,-0.05883895986406524,-0.01978316072421754,-0.004431384129300455,-0.029040084174557983,-0.014969819059633314,-0.07380877892369855,-0.0935919396479161,-0.09802332377721655
1057,6099,2020-08-13,0.08458883750529547,0.04498031783683462,0.05153494789163945,-0.01565637623569833,-0.018935734407003323,0.08458883750529547,0.1295691553421301,0.18110410323376955,0.16544772699807123,0.1465119925910679
1058,6099,2020-08-14,0.044967266998028874,0.051520785040439734,-0.01567006355424838,-0.018949263294503943,0.019859150832580486,0.044967266998028874,0.09648805203846861,0.08081798848422023,0.061868725189716284,0.08172787602229677
1059,6099,2020-08-17,0.051571247500368456,-0.015619977863626745,-0.01889930313039822,0.019909362239192024,0.023026707391829944,0.051571247500368456,0.03595126963674171,0.01705196650634349,0.03696132874553551,0.059988036137365454
1060,6099,2021-01-22,0.014908117857007658,-0.06246880359976984,-0.0053448839736800376,-0.026665181678346066,-0.010334890428964433,0.014908117857007658,-0.047560685742762183,-0.052905569716442225,-0.0795707513947883,-0.08990564182375273
1061,6099,2021-11-15,-0.028467156215308393,-0.03443777171456027,0.026467730876038566,-0.015824151686809843,0.05109364167152828,-0.028467156215308393,-0.06290492792986867,-0.0364371970538301,-0.05226134874063994,-0.0011677070691116578
1062,6101,2017-09-13,,,,,,,,,,
1063,6101,2017-10-16,,,,,,,,,,
1064,6101,2017-10-17,,,,,,,,,,
1065,6101,2020-01-14,-0.02457306260159442,-0.0008844219344514332,0.017857510439474727,0.005716632419106705,-0.012483115680589765,-0.02457306260159442,-0.025457484536045853,-0.007599974096571125,-0.0018833416774644198,-0.014366457358054184
1066,6183,2018-01-11,-0.016866047399401042,-0.013306280397976034,-0.0017517331608300542,-0.029206410693542392,-0.011377143678203094,-0.016866047399401042,-0.030172327797377076,-0.03192406095820713,-0.06113047165174952,-0.07250761532995262
1067,6183,2020-07-09,0.016408543597959756,0.002518525763863362,-0.0032127133029753955,-0.01824003957562496,0.0031173510835028105,0.016408543597959756,0.018927069361823118,0.015714356058847724,-0.0025256835167772364,0.0005916675667255742
1068,6183,2022-01-20,-0.0202834690602002,0.013517528273008533,0.0011473331311638996,0.007835668511797808,0.00186966137162042,-0.0202834690602002,-0.0067659407871916676,-0.005618607656027768,0.0022170608557700398,0.00408672222739046
1069,6183,2022-04-07,-0.01613925903260941,0.023850017485571747,-0.023188682234387446,-0.015150049566025703,0.017017925052511002,-0.01613925903260941,0.007710758452962336,-0.01547792378142511,-0.030627973347450814,-0.013610048294939812
1070,6196,2018-09-26,0.021051214572712536,-0.07042375936634915,-0.05278520080981703,-0.0038458932603018378,-0.030681267348382495,0.021051214572712536,-0.04937254479363661,-0.10215774560345364,-0.10600363886375548,-0.13668490621213797
1071,6196,2018-09-27,-0.07062391065305082,-0.05292720630666062,-0.004021918665331024,-0.030996689171705602,-0.030016188312007974,-0.07062391065305082,-0.12355111695971144,-0.12757303562504246,-0.15856972479674808,-0.18858591310875605
1072,6196,2019-10-01,0.04786012754369948,0.00911404126372447,0.005228840628160005,0.01209528510189468,0.001602943224838926,0.04786012754369948,0.056974168807423946,0.06220300943558395,0.07429829453747863,0.07590123776231755
1073,6196,2019-10-02,0.007059284903129525,0.0036188963595187684,0.012103404947791427,0.0023047488586282697,-0.022397354117860136,0.007059284903129525,0.010678181262648294,0.02278158621043972,0.02508633506906799,0.0026889809512078526
1074,6196,2019-12-25,0.0018947639292955336,-0.00924461013075437,0.005050793223633533,-0.005221595343437451,0.03689490029534202,0.0018947639292955336,-0.007349846201458836,-0.0022990529778253027,-0.007520648321262754,0.02937425197407927
1075,6196,2020-05-25,-0.03340458960824518,-0.007557775255365617,-0.040059745093399296,0.001561788154811847,0.050273226074068575,-0.03340458960824518,-0.040962364863610795,-0.08102210995701009,-0.07946032180219824,-0.029187095728129664
1076,6196,2020-09-23,-0.0018719903904950291,0.07233068348707675,0.0449222162765925,-0.0034918033598438196,-0.012662111486033245,-0.0018719903904950291,0.07045869309658172,0.11538090937317422,0.1118891060133304,0.09922699452729715
