,code,date,ar1,ar2,ar3,ar4,ar5,car1,car2,car3,car4,car5
0,1766,2018-02-11,,,,,,,,,,
1,1766,2022-03-06,-0.02099128660572678,0.04167108097185236,-0.03254480262925898,0.0150939646175804,-0.007692345210732476,-0.02099128660572678,0.020679794366125583,-0.0118650082631334,0.0032289563544469994,-0.004463388856285477
2,1766,2022-03-13,0.041749292357550566,-0.03258317947111224,0.014971153517210912,-0.007971139914027803,-0.005051931462421623,0.041749292357550566,0.009166112886438323,0.024137266403649237,0.016166126489621433,0.01111419502719981
3,1766,2022-06-19,0.002362607324829201,0.04647828856677469,0.04816849531222747,0.060386686778079554,-0.02381101499331057,0.002362607324829201,0.04884089589160389,0.09700939120383137,0.1573960779819109,0.13358506298860034
4,1786,2021-11-21,,,,,,,,,,
5,1835,2018-02-11,,,,,,,,,,
6,1835,2020-03-01,,,,,,,,,,
7,1835,2020-03-08,,,,,,,,,,
8,1871,2020-03-01,,,,,,,,,,
9,1871,2020-03-08,,,,,,,,,,
10,1871,2020-03-15,,,,,,,,,,
11,1926,2020-03-01,,,,,,,,,,
12,1969,2020-03-01,,,,,,,,,,
13,1969,2020-03-15,,,,,,,,,,
14,2124,2020-02-02,,,,,,,,,,
15,2150,2020-03-15,,,,,,,,,,
16,2292,2020-03-01,,,,,,,,,,
17,2326,2018-02-04,,,,,,,,,,
18,2326,2018-02-11,,,,,,,,,,
19,2326,2020-03-22,,,,,,,,,,
20,2353,2018-10-28,,,,,,,,,,
21,2384,2020-03-15,,,,,,,,,,
22,2389,2020-03-15,,,,,,,,,,
23,2429,2020-03-15,,,,,,,,,,
24,2475,2020-03-01,,,,,,,,,,
25,2475,2020-03-15,,,,,,,,,,
26,2737,2018-10-28,,,,,,,,,,
27,2742,2020-03-15,,,,,,,,,,
28,2929,2018-02-11,,,,,,,,,,
29,3076,2020-03-01,,,,,,,,,,
30,3076,2020-03-15,,,,,,,,,,
31,3085,2020-03-15,,,,,,,,,,
32,3228,2018-09-09,,,,,,,,,,
33,3228,2018-09-16,,,,,,,,,,
34,3228,2020-03-01,,,,,,,,,,
35,3228,2020-03-15,,,,,,,,,,
36,3245,2018-12-23,,,,,,,,,,
37,3245,2020-03-15,,,,,,,,,,
38,3252,2020-03-15,,,,,,,,,,
39,3254,2019-12-22,,,,,,,,,,
40,3341,2020-03-15,,,,,,,,,,
41,3371,2018-12-23,,,,,,,,,,
42,3371,2018-12-30,,,,,,,,,,
43,3371,2020-03-01,,,,,,,,,,
44,3371,2020-03-08,,,,,,,,,,
45,3431,2020-03-15,,,,,,,,,,
46,3433,2019-05-19,,,,,,,,,,
47,3465,2020-03-01,,,,,,,,,,
48,3475,2021-12-12,-0.06999598149858689,0.022398775009326907,0.04057120539055133,0.010894263793041509,0.0352642386381157,-0.06999598149858689,-0.04759720648925998,-0.007026001098708649,0.0038682626943328594,0.03913250133244856
49,3475,2021-12-19,0.022546417105134345,0.041020703909269776,0.010709491653791495,0.035378558129635806,-0.014258313631051851,0.022546417105134345,0.06356712101440412,0.07427661266819562,0.10965517079783142,0.09539685716677956
50,3539,2020-03-15,,,,,,,,,,
51,3540,2017-12-17,,,,,,,,,,
52,3543,2020-03-01,,,,,,,,,,
53,3633,2017-09-10,,,,,,,,,,
54,3633,2020-02-09,,,,,,,,,,
55,3655,2020-03-01,,,,,,,,,,
56,3657,2020-03-15,,,,,,,,,,
