"日付","銘柄名","コード","業種","JPX日経400に占める個別銘柄のウェイト"
"2022/08/31","大王製紙","3880","パルプ・紙","0.0301%"
"2022/08/31","ラクス","3923","情報・通信業","0.0415%"
"2022/08/31","レンゴー","3941","パルプ・紙","0.0342%"
"2022/08/31","チェンジ","3962","情報・通信業","0.0211%"
"2022/08/31","住友化学","4005","化学","0.2017%"
"2022/08/31","日産化学","4021","化学","0.1711%"
"2022/08/31","東ソー","4042","化学","0.1201%"
"2022/08/31","トクヤマ","4043","化学","0.0294%"
"2022/08/31","デンカ","4061","化学","0.0606%"
"2022/08/31","イビデン","4062","電気機器","0.1183%"
"2022/08/31","信越化学工業","4063","化学","1.3900%"
"2022/08/31","エア・ウォーター","4088","化学","0.0754%"
"2022/08/31","日本酸素ホールディングス","4091","化学","0.1126%"
"2022/08/31","協和キリン","4151","医薬品","0.1731%"
"2022/08/31","三菱瓦斯化学","4182","化学","0.0867%"
"2022/08/31","三井化学","4183","化学","0.1316%"
"2022/08/31","三菱ケミカルグループ","4188","化学","0.2446%"
"2022/08/31","ＫＨネオケム","4189","化学","0.0196%"
"2022/08/31","ダイセル","4202","化学","0.0635%"
"2022/08/31","積水化学工業","4204","化学","0.1957%"
"2022/08/31","日本ゼオン","4205","化学","0.0525%"
"2022/08/31","アイカ工業","4206","化学","0.0391%"
"2022/08/31","ＵＢＥ","4208","化学","0.0521%"
"2022/08/31","野村総合研究所","4307","情報・通信業","0.3549%"
"2022/08/31","インフォコム","4348","情報・通信業","0.0120%"
"2022/08/31","日油","4403","化学","0.0823%"
"2022/08/31","花王","4452","化学","0.6861%"
"2022/08/31","武田薬品工業","4502","医薬品","1.4433%"
"2022/08/31","アステラス製薬","4503","医薬品","0.9312%"
"2022/08/31","住友ファーマ","4506","医薬品","0.0352%"
"2022/08/31","塩野義製薬","4507","医薬品","0.4335%"
"2022/08/31","日本新薬","4516","医薬品","0.0916%"
"2022/08/31","中外製薬","4519","医薬品","0.5163%"
"2022/08/31","科研製薬","4521","医薬品","0.0303%"
"2022/08/31","エーザイ","4523","医薬品","0.3455%"
"2022/08/31","ロート製薬","4527","医薬品","0.1100%"
"2022/08/31","小野薬品工業","4528","医薬品","0.3521%"
"2022/08/31","参天製薬","4536","医薬品","0.0962%"
"2022/08/31","テルモ","4543","精密機器","0.6998%"
"2022/08/31","Ｈ．Ｕ．グループホールディングス","4544","サービス業","0.0389%"
"2022/08/31","ＪＣＲファーマ","4552","医薬品","0.0337%"
"2022/08/31","東和薬品","4553","医薬品","0.0174%"
"2022/08/31","第一三共","4568","医薬品","1.6710%"
"2022/08/31","大塚ホールディングス","4578","医薬品","0.4769%"
"2022/08/31","ペプチドリーム","4587","医薬品","0.0372%"
"2022/08/31","日本ペイントホールディングス","4612","化学","0.2193%"
"2022/08/31","関西ペイント","4613","化学","0.0998%"
"2022/08/31","オービック","4684","情報・通信業","0.3525%"
"2022/08/31","ジャストシステム","4686","情報・通信業","0.0271%"
"2022/08/31","Ｚホールディングス","4689","情報・通信業","0.3223%"
"2022/08/31","ビー・エム・エル","4694","サービス業","0.0239%"
"2022/08/31","トレンドマイクロ","4704","情報・通信業","0.2275%"
"2022/08/31","日本オラクル","4716","情報・通信業","0.0730%"
"2022/08/31","ユー・エス・エス","4732","サービス業","0.1447%"
"2022/08/31","伊藤忠テクノソリューションズ","4739","情報・通信業","0.0867%"
"2022/08/31","サイバーエージェント","4751","サービス業","0.1534%"
"2022/08/31","大塚商会","4768","情報・通信業","0.1173%"
"2022/08/31","電通国際情報サービス","4812","情報・通信業","0.0253%"
"2022/08/31","東映アニメーション","4816","情報・通信業","0.0275%"
"2022/08/31","デジタルガレージ","4819","情報・通信業","0.0349%"
"2022/08/31","フルキャストホールディングス","4848","サービス業","0.0110%"
"2022/08/31","エン・ジャパン","4849","サービス業","0.0223%"
"2022/08/31","富士フイルムホールディングス","4901","化学","0.6859%"
"2022/08/31","資生堂","4911","化学","0.5053%"
"2022/08/31","ライオン","4912","化学","0.0894%"
"2022/08/31","ファンケル","4921","化学","0.0629%"
"2022/08/31","コーセー","4922","化学","0.1230%"
"2022/08/31","小林製薬","4967","化学","0.1109%"
"2022/08/31","タカラバイオ","4974","化学","0.0281%"
"2022/08/31","デクセリアルズ","4980","化学","0.0560%"
"2022/08/31","出光興産","5019","石油・石炭製品","0.2038%"
"2022/08/31","ＥＮＥＯＳホールディングス","5020","石油・石炭製品","0.4323%"
"2022/08/31","コスモエネルギーホールディングス","5021","石油・石炭製品","0.0898%"
"2022/08/31","インフロニア・ホールディングス","5076","建設業","0.0597%"
"2022/08/31","横浜ゴム","5101","ゴム製品","0.0595%"
"2022/08/31","ＴＯＹＯＴＩＲＥ","5105","ゴム製品","0.0445%"
"2022/08/31","ブリヂストン","5108","ゴム製品","0.7812%"
"2022/08/31","住友ゴム工業","5110","ゴム製品","0.0538%"
"2022/08/31","ＡＧＣ","5201","ガラス・土石製品","0.2209%"
"2022/08/31","太平洋セメント","5233","ガラス・土石製品","0.0651%"
"2022/08/31","東海カーボン","5301","ガラス・土石製品","0.0393%"
"2022/08/31","ＴＯＴＯ","5332","ガラス・土石製品","0.1604%"
"2022/08/31","日本碍子","5333","ガラス・土石製品","0.1081%"
"2022/08/31","日本特殊陶業","5334","ガラス・土石製品","0.1097%"
"2022/08/31","ＭＡＲＵＷＡ","5344","ガラス・土石製品","0.0335%"
"2022/08/31","ニチアス","5393","ガラス・土石製品","0.0279%"
"2022/08/31","日本製鉄","5401","鉄鋼","0.5007%"
"2022/08/31","ＪＦＥホールディングス","5411","鉄鋼","0.1885%"
"2022/08/31","東京製鐵","5423","鉄鋼","0.0235%"
"2022/08/31","三井金属鉱業","5706","非鉄金属","0.0483%"
"2022/08/31","住友金属鉱山","5713","非鉄金属","0.2619%"
"2022/08/31","ＤＯＷＡホールディングス","5714","非鉄金属","0.0668%"
"2022/08/31","住友電気工業","5802","非鉄金属","0.3035%"
"2022/08/31","アサヒホールディングス","5857","非鉄金属","0.0452%"
"2022/08/31","三和ホールディングス","5929","金属製品","0.0709%"
"2022/08/31","リンナイ","5947","金属製品","0.1005%"
"2022/08/31","三浦工業","6005","機械","0.0636%"
"2022/08/31","テクノプロ・ホールディングス","6028","サービス業","0.0992%"
"2022/08/31","ジャパンマテリアル","6055","サービス業","0.0313%"
"2022/08/31","リクルートホールディングス","6098","サービス業","1.6061%"
"2022/08/31","アマダ","6113","機械","0.0940%"
"2022/08/31","ＦＵＪＩ","6134","機械","0.0442%"
"2022/08/31","ＤＭＧ森精機","6141","機械","0.0509%"
"2022/08/31","ディスコ","6146","機械","0.2735%"
"2022/08/31","ベルシステム２４ホールディングス","6183","サービス業","0.0112%"
"2022/08/31","豊田自動織機","6201","輸送用機器","0.3039%"
"2022/08/31","オプトラン","6235","機械","0.0155%"
"2022/08/31","ナブテスコ","6268","機械","0.0960%"
"2022/08/31","ＳＭＣ","6273","機械","1.0704%"
"2022/08/31","小松製作所","6301","機械","0.7288%"
"2022/08/31","住友重機械工業","6302","機械","0.0862%"
"2022/08/31","日立建機","6305","機械","0.0633%"
"2022/08/31","ローツェ","6323","機械","0.0232%"
"2022/08/31","クボタ","6326","機械","0.5339%"
"2022/08/31","荏原製作所","6361","機械","0.1001%"
"2022/08/31","ダイキン工業","6367","機械","1.4676%"
"2022/08/31","ダイフク","6383","機械","0.2120%"
"2022/08/31","竹内製作所","6432","機械","0.0222%"
"2022/08/31","ブラザー工業","6448","電気機器","0.1674%"
"2022/08/31","ホシザキ","6465","機械","0.1229%"
"2022/08/31","ミネベアミツミ","6479","電気機器","0.2112%"
"2022/08/31","日立製作所","6501","電気機器","1.5554%"
"2022/08/31","三菱電機","6503","電気機器","0.7266%"
"2022/08/31","富士電機","6504","電気機器","0.1853%"
"2022/08/31","安川電機","6506","電気機器","0.2498%"
"2022/08/31","ベイカレント・コンサルティング","6532","サービス業","0.1539%"
"2022/08/31","ジャパンエレベーターサービスホールディングス","6544","サービス業","0.0313%"
"2022/08/31","マキタ","6586","機械","0.2048%"
"2022/08/31","日本電産","6594","電気機器","1.1369%"
"2022/08/31","オムロン","6645","電気機器","0.3376%"
"2022/08/31","ＭＣＪ","6670","電気機器","0.0185%"
"2022/08/31","日本電気","6701","電気機器","0.3320%"
"2022/08/31","富士通","6702","電気機器","0.8180%"
"2022/08/31","ルネサスエレクトロニクス","6723","電気機器","0.3967%"
"2022/08/31","セイコーエプソン","6724","電気機器","0.1346%"
"2022/08/31","ワコム","6727","電気機器","0.0355%"
"2022/08/31","アルバック","6728","電気機器","0.0598%"
"2022/08/31","エレコム","6750","電気機器","0.0214%"
"2022/08/31","パナソニックホールディングス","6752","電気機器","0.6632%"
"2022/08/31","シャープ","6753","電気機器","0.0523%"
"2022/08/31","アンリツ","6754","電気機器","0.0573%"
"2022/08/31","ソニーグループ","6758","電気機器","1.4365%"
"2022/08/31","ＴＤＫ","6762","電気機器","0.3907%"
"2022/08/31","横河電機","6841","電気機器","0.1231%"
"2022/08/31","アズビル","6845","電気機器","0.1270%"
"2022/08/31","日本光電工業","6849","電気機器","0.0673%"
"2022/08/31","堀場製作所","6856","電気機器","0.0648%"
"2022/08/31","アドバンテスト","6857","電気機器","0.3264%"
"2022/08/31","キーエンス","6861","電気機器","1.6307%"
"2022/08/31","シスメックス","6869","電気機器","0.3381%"
"2022/08/31","フェローテックホールディングス","6890","電気機器","0.0400%"
"2022/08/31","デンソー","6902","輸送用機器","0.8218%"
"2022/08/31","レーザーテック","6920","電気機器","0.4365%"
"2022/08/31","カシオ計算機","6952","電気機器","0.0449%"
"2022/08/31","ファナック","6954","電気機器","1.0855%"
"2022/08/31","浜松ホトニクス","6965","電気機器","0.2175%"
"2022/08/31","新光電気工業","6967","電気機器","0.0634%"
"2022/08/31","京セラ","6971","電気機器","0.6006%"
"2022/08/31","太陽誘電","6976","電気機器","0.1062%"
"2022/08/31","村田製作所","6981","電気機器","1.1309%"
"2022/08/31","日東電工","6988","化学","0.2860%"
"2022/08/31","三菱重工業","7011","機械","0.4325%"
"2022/08/31","ＩＨＩ","7013","機械","0.1280%"
"2022/08/31","全国保証","7164","その他金融業","0.0596%"
"2022/08/31","めぶきフィナンシャルグループ","7167","銀行業","0.0595%"
"2022/08/31","ＧＭＯフィナンシャルホールディングス","7177","証券、商品先物取引業","0.0076%"
"2022/08/31","コンコルディア・フィナンシャルグループ","7186","銀行業","0.1184%"
"2022/08/31","いすゞ自動車","7202","輸送用機器","0.2752%"
"2022/08/31","トヨタ自動車","7203","輸送用機器","1.4323%"
"2022/08/31","アイシン","7259","輸送用機器","0.1669%"
"2022/08/31","本田技研工業","7267","輸送用機器","1.4943%"
"2022/08/31","スズキ","7269","輸送用機器","0.5308%"
"2022/08/31","ＳＵＢＡＲＵ","7270","輸送用機器","0.3656%"
"2022/08/31","ヤマハ発動機","7272","輸送用機器","0.2076%"
"2022/08/31","小糸製作所","7276","電気機器","0.1311%"
"2022/08/31","豊田合成","7282","輸送用機器","0.0377%"
"2022/08/31","シマノ","7309","輸送用機器","0.4627%"
"2022/08/31","テイ・エステック","7313","輸送用機器","0.0362%"
"2022/08/31","ノジマ","7419","小売業","0.0246%"
"2022/08/31","良品計画","7453","小売業","0.0809%"
"2022/08/31","メディパルホールディングス","7459","卸売業","0.0954%"
"2022/08/31","コーナン商事","7516","小売業","0.0265%"
"2022/08/31","ネットワンシステムズ","7518","情報・通信業","0.0615%"
"2022/08/31","パン・パシフィック・インターナショナルホールディングス","7532","小売業","0.2708%"
"2022/08/31","ゼンショーホールディングス","7550","小売業","0.0965%"
"2022/08/31","ワークマン","7564","小売業","0.0313%"
"2022/08/31","スギホールディングス","7649","小売業","0.0639%"
"2022/08/31","島津製作所","7701","精密機器","0.2682%"
"2022/08/31","東京精密","7729","精密機器","0.0401%"
"2022/08/31","オリンパス","7733","精密機器","0.7915%"
"2022/08/31","ＳＣＲＥＥＮホールディングス","7735","電気機器","0.0812%"
"2022/08/31","ＨＯＹＡ","7741","精密機器","1.5099%"
"2022/08/31","朝日インテック","7747","精密機器","0.1507%"
"2022/08/31","バンダイナムコホールディングス","7832","その他製品","0.4760%"
"2022/08/31","パイロットコーポレーション","7846","その他製品","0.0356%"
