,code,date,ar1,ar2,ar3,ar4,ar5,car1,car2,car3,car4,car5
0,1419,2018-06-03,,,,,,,,,,
1,1419,2018-06-10,,,,,,,,,,
2,1419,2018-06-17,,,,,,,,,,
3,1419,2018-06-24,,,,,,,,,,
4,1419,2018-07-01,,,,,,,,,,
5,1419,2018-07-08,,,,,,,,,,
6,1419,2018-07-15,,,,,,,,,,
7,1419,2018-12-30,,,,,,,,,,
8,1419,2019-01-06,,,,,,,,,,
9,1419,2019-03-10,,,,,,,,,,
10,1419,2019-06-02,,,,,,,,,,
11,1419,2019-06-09,,,,,,,,,,
12,1419,2020-01-19,,,,,,,,,,
13,1419,2020-01-26,,,,,,,,,,
14,1419,2020-02-02,,,,,,,,,,
15,1419,2020-02-09,,,,,,,,,,
16,1419,2020-02-16,,,,,,,,,,
17,1419,2020-02-23,,,,,,,,,,
18,1419,2020-03-01,,,,,,,,,,
19,1419,2020-03-08,,,,,,,,,,
20,1419,2020-03-15,,,,,,,,,,
21,1419,2020-03-22,,,,,,,,,,
22,1419,2020-04-05,,,,,,,,,,
23,1419,2021-12-12,0.0173364738662783,0.019771735172980538,-0.03230144031491471,0.024306880670700734,0.249073828094468,0.0173364738662783,0.037108209039258835,0.004806768724344122,0.029113649395044856,0.2781874774895129
24,1766,2017-12-24,,,,,,,,,,
25,1766,2018-02-04,,,,,,,,,,
26,1766,2018-02-11,,,,,,,,,,
27,1766,2018-02-18,,,,,,,,,,
28,1766,2018-02-25,,,,,,,,,,
29,1766,2018-03-04,,,,,,,,,,
30,1766,2018-03-11,,,,,,,,,,
31,1766,2018-03-18,,,,,,,,,,
32,1766,2018-03-25,,,,,,,,,,
33,1766,2018-04-01,,,,,,,,,,
34,1766,2018-04-08,,,,,,,,,,
35,1766,2018-04-15,,,,,,,,,,
36,1766,2018-04-29,,,,,,,,,,
37,1766,2018-06-10,,,,,,,,,,
38,1766,2018-06-17,,,,,,,,,,
39,1766,2018-06-24,,,,,,,,,,
40,1766,2018-07-01,,,,,,,,,,
41,1766,2018-07-08,,,,,,,,,,
42,1766,2018-07-15,,,,,,,,,,
43,1766,2018-07-22,,,,,,,,,,
44,1766,2018-07-29,,,,,,,,,,
45,1766,2018-08-05,,,,,,,,,,
46,1766,2018-08-12,,,,,,,,,,
47,1766,2018-08-19,,,,,,,,,,
48,1766,2018-08-26,,,,,,,,,,
49,1766,2018-09-02,,,,,,,,,,
50,1766,2018-09-09,,,,,,,,,,
51,1766,2018-09-16,,,,,,,,,,
52,1766,2018-09-23,,,,,,,,,,
53,1766,2018-10-07,,,,,,,,,,
54,1766,2018-12-16,,,,,,,,,,
55,1766,2018-12-23,,,,,,,,,,
56,1766,2018-12-30,,,,,,,,,,
57,1766,2019-01-06,,,,,,,,,,
58,1766,2019-01-13,,,,,,,,,,
59,1766,2019-01-27,,,,,,,,,,
60,1766,2019-02-03,,,,,,,,,,
61,1766,2019-02-10,,,,,,,,,,
62,1766,2019-02-17,,,,,,,,,,
63,1766,2019-06-30,,,,,,,,,,
64,1766,2019-07-28,,,,,,,,,,
65,1766,2019-08-04,,,,,,,,,,
66,1766,2019-08-11,,,,,,,,,,
67,1766,2019-08-18,,,,,,,,,,
68,1766,2020-03-08,,,,,,,,,,
69,1766,2020-03-15,,,,,,,,,,
70,1766,2020-03-22,,,,,,,,,,
71,1766,2020-08-02,-0.013924203087393632,0.013898797115718012,-0.015362555656384485,0.0030502882939638255,0.045876793868803445,-0.013924203087393632,-2.540597167561935e-05,-0.015387961628060104,-0.012337673334096279,0.033539120534707166
72,1766,2020-08-09,0.01449190395108467,-0.014739893956575382,0.0036658870413012207,0.046504199902115156,0.09382520019911532,0.01449190395108467,-0.00024799000549071207,0.0034178970358105087,0.04992209693792567,0.14374729713704099
73,1766,2020-08-16,-0.014666914526749428,0.003733031179426598,0.04658109901992193,0.09388730861930696,-0.017072844354071935,-0.014666914526749428,-0.01093388334732283,0.035647215672599104,0.12953452429190607,0.11246167993783412
74,1766,2020-08-23,0.003635953310682418,0.04644093043087184,0.0938124750524588,-0.01706219857426202,0.01878826986154037,0.003635953310682418,0.05007688374155425,0.14388935879401304,0.12682716021975102,0.14561543008129138
75,1766,2020-08-30,0.046632342981255126,0.09402410257149667,-0.01682412333614374,0.01897386341045187,-0.007742413659600884,0.046632342981255126,0.1406564455527518,0.12383232221660806,0.14280618562705993,0.13506377196745906
76,1766,2021-08-22,0.02598618848494338,0.023488463927256197,-0.01071336893312876,-0.06544269646378183,-0.02361168562911723,0.02598618848494338,0.049474652412199574,0.03876128347907082,-0.02668141298471101,-0.05029309861382824
77,1766,2021-10-10,-0.015344871785857559,-0.021337291542853264,-0.027214247998255656,-0.0008625191839142787,0.02364108475941268,-0.015344871785857559,-0.036682163328710826,-0.06389641132696648,-0.06475893051088076,-0.04111784575146808
78,1766,2021-10-17,-0.02138889746989721,-0.027306508217575555,-0.0009942709205383975,0.023884499557030266,-0.025901363507008873,-0.02138889746989721,-0.04869540568747276,-0.04968967660801116,-0.02580517705098089,-0.05170654055798976
79,1766,2021-10-24,-0.027185127977528395,-0.0008664052723959016,0.02395075430125313,-0.025812596597154867,0.009525029125997966,-0.027185127977528395,-0.028051533249924297,-0.004100778948671165,-0.029913375545826033,-0.020388346419828066
80,1766,2021-10-31,-0.00031966723518820316,0.02522775072452786,-0.024802431151755663,0.011241113065270283,0.026916130745327102,-0.00031966723518820316,0.024908083489339657,0.00010565233758399323,0.011346765402854276,0.038262896148181375
81,1766,2021-11-07,0.02539150852221591,-0.024735258148473903,0.011563807347007706,0.02716381772526638,-0.032476949984498155,0.02539150852221591,0.0006562503737420067,0.012220057720749713,0.0393838754460161,0.006906925461517943
82,1766,2021-11-21,0.011616936452301801,0.027252926483158448,-0.03218935028815538,0.021443551065559827,-0.005392875640334199,0.011616936452301801,0.03886986293546025,0.006680512647304869,0.028124063712864696,0.022731188072530495
83,1766,2021-11-28,0.027429579494849254,-0.031980540309145725,0.021632273618582058,-0.005204415379939076,-0.0007097131608792724,0.027429579494849254,-0.00455096081429647,0.017081312804285587,0.01187689742434651,0.011167184263467238
84,1766,2021-12-05,-0.03172148966885146,0.021829345969730088,-0.005008152313579163,-0.00043646609726166047,0.02504262103633166,-0.03172148966885146,-0.009892143699121371,-0.014900296012700534,-0.015336762109962194,0.009705858926369467
85,1766,2021-12-12,0.021713114555102084,-0.005125829067952087,-0.0004166535121665309,0.024773536492894384,0.03999664888910883,0.021713114555102084,0.016587285487149998,0.016170631974983467,0.04094416846787785,0.08094081735698669
