,code,date,ar1,ar2,ar3,ar4,ar5,car1,car2,car3,car4,car5
0,1332,2017-11-19,,,,,,,,,,
1,1332,2017-11-26,,,,,,,,,,
2,1332,2017-12-10,,,,,,,,,,
3,1332,2017-12-31,,,,,,,,,,
4,1332,2018-02-04,,,,,,,,,,
5,1332,2018-02-11,,,,,,,,,,
6,1332,2018-02-18,,,,,,,,,,
7,1332,2018-02-25,,,,,,,,,,
8,1332,2018-03-04,,,,,,,,,,
9,1332,2018-03-11,,,,,,,,,,
10,1332,2018-03-18,,,,,,,,,,
11,1332,2018-03-25,,,,,,,,,,
12,1332,2018-07-15,,,,,,,,,,
13,1332,2018-12-30,,,,,,,,,,
14,1332,2019-01-06,,,,,,,,,,
15,1332,2019-06-02,,,,,,,,,,
16,1332,2019-06-09,,,,,,,,,,
17,1332,2019-06-16,,,,,,,,,,
18,1332,2019-06-30,,,,,,,,,,
19,1332,2019-08-11,,,,,,,,,,
20,1332,2019-08-18,,,,,,,,,,
21,1332,2019-08-25,,,,,,,,,,
22,1332,2019-09-01,,,,,,,,,,
23,1332,2019-09-08,,,,,,,,,,
24,1332,2019-10-06,,,,,,,,,,
25,1332,2020-01-26,,,,,,,,,,
26,1332,2020-02-02,,,,,,,,,,
27,1332,2020-02-23,,,,,,,,,,
28,1332,2020-03-01,,,,,,,,,,
29,1332,2020-03-08,,,,,,,,,,
30,1332,2020-03-15,,,,,,,,,,
31,1332,2020-03-22,,,,,,,,,,
32,1332,2020-03-29,,,,,,,,,,
33,1332,2020-04-05,,,,,,,,,,
34,1332,2020-04-12,,,,,,,,,,
35,1332,2020-04-19,,,,,,,,,,
36,1332,2020-04-26,,,,,,,,,,
37,1332,2020-05-03,0.015425106997214881,-0.05783972342396929,0.030642826392820278,0.01998142790584908,-0.0037354971388254346,0.015425106997214881,-0.04241461642675441,-0.011771790033934134,0.008209637871914945,0.004474140733089511
38,1332,2020-05-17,0.02910288392478406,0.014170687943768898,-0.007051055223161996,-0.024381999457522206,0.0006023016982517259,0.02910288392478406,0.04327357186855296,0.036222516645390966,0.01184051718786876,0.012442818886120487
39,1332,2020-08-02,0.018617410547616044,0.008303062317738634,-0.01396112765203502,-0.0110197655779685,-0.040789720257707135,0.018617410547616044,0.026920472865354678,0.012959345213319658,0.0019395796353511574,-0.03885014062235598
40,1332,2020-09-27,-0.0009031092710884451,-0.034429117855441935,-0.018827661886317744,-0.0007310130500600915,-0.018804158172019043,-0.0009031092710884451,-0.03533222712653038,-0.05415988901284812,-0.05489090206290821,-0.07369506023492725
41,1332,2020-10-04,-0.03414603477470525,-0.018597631645298887,-0.00047380726816182144,-0.018588157951069106,-0.0016425722954898428,-0.03414603477470525,-0.05274366642000414,-0.053217473688165956,-0.07180563163923506,-0.0734482039347249
42,1332,2020-10-11,-0.018350489586775428,-0.00019212214347142861,-0.018358849572975948,-0.001280666522072156,-0.022961088265831712,-0.018350489586775428,-0.018542611730246857,-0.036901461303222804,-0.03818212782529496,-0.061143216091126676
43,1332,2020-10-18,-2.8733916470148873e-05,-0.018262637033109867,-0.0010143914693173245,-0.022739432420057614,-0.006840685120920334,-2.8733916470148873e-05,-0.018291370949580017,-0.01930576241889734,-0.042045194838954955,-0.04888587995987529
