,code,date,ar1,ar2,ar3,ar4,ar5,car1,car2,car3,car4,car5
0,1419,2017-09-10,,,,,,,,,,
1,1419,2017-09-17,,,,,,,,,,
2,1419,2017-09-24,,,,,,,,,,
3,1419,2017-10-01,,,,,,,,,,
4,1419,2017-10-08,,,,,,,,,,
5,1419,2017-10-15,,,,,,,,,,
6,1419,2017-12-24,,,,,,,,,,
7,1419,2017-12-31,,,,,,,,,,
8,1419,2018-01-07,,,,,,,,,,
9,1419,2018-01-14,,,,,,,,,,
10,1419,2018-01-21,,,,,,,,,,
11,1419,2018-01-28,,,,,,,,,,
12,1419,2018-02-04,,,,,,,,,,
13,1419,2018-02-11,,,,,,,,,,
14,1419,2018-02-18,,,,,,,,,,
15,1419,2018-02-25,,,,,,,,,,
16,1419,2018-03-04,,,,,,,,,,
17,1419,2018-03-11,,,,,,,,,,
18,1419,2018-03-18,,,,,,,,,,
19,1419,2018-03-25,,,,,,,,,,
20,1419,2018-04-01,,,,,,,,,,
21,1419,2018-04-08,,,,,,,,,,
22,1419,2018-04-15,,,,,,,,,,
23,1419,2018-10-07,,,,,,,,,,
24,1419,2018-10-21,,,,,,,,,,
25,1419,2018-11-04,,,,,,,,,,
26,1419,2018-11-11,,,,,,,,,,
27,1419,2019-01-20,,,,,,,,,,
28,1419,2019-01-27,,,,,,,,,,
29,1419,2019-02-03,,,,,,,,,,
30,1419,2019-02-10,,,,,,,,,,
31,1419,2019-07-07,,,,,,,,,,
32,1419,2019-07-14,,,,,,,,,,
33,1419,2019-07-21,,,,,,,,,,
34,1419,2019-07-28,,,,,,,,,,
35,1419,2019-08-04,,,,,,,,,,
36,1419,2019-08-11,,,,,,,,,,
37,1419,2019-08-18,,,,,,,,,,
38,1419,2019-08-25,,,,,,,,,,
39,1419,2019-09-01,,,,,,,,,,
40,1419,2019-09-08,,,,,,,,,,
41,1419,2019-10-20,,,,,,,,,,
42,1419,2019-10-27,,,,,,,,,,
43,1419,2019-11-03,,,,,,,,,,
44,1419,2019-11-10,,,,,,,,,,
45,1419,2019-11-17,,,,,,,,,,
46,1419,2019-11-24,,,,,,,,,,
47,1419,2019-12-01,,,,,,,,,,
48,1419,2020-09-13,-0.04359386122494652,0.005159771683469028,0.018282825168232944,-0.006370782833890969,0.018090178154320805,-0.04359386122494652,-0.03843408954147749,-0.02015126437324455,-0.026522047207135517,-0.008431869052814712
49,1419,2020-09-20,0.004243668592003012,0.017370585356082505,-0.007366999978183665,0.017194411299692687,0.0010066791951675001,0.004243668592003012,0.021614253948085516,0.014247253969901851,0.031441665269594535,0.03244834446476204
50,1419,2020-09-27,0.017129001207446114,-0.007831973820652378,0.016996647177765292,0.0006643816463800471,-0.025704954452749187,0.017129001207446114,0.009297027386793735,0.026293674564559028,0.026958056210939073,0.0012531017581898854
51,1419,2020-10-04,-0.007746807281962739,0.0171096393042413,0.0007623229448060417,-0.025566484088746802,0.022963240433716475,-0.007746807281962739,0.009362832022278562,0.010125154967084604,-0.015441329121662198,0.007521911312054277
52,1419,2020-10-11,0.01736818408268522,0.0010678201705130366,-0.025387421023856313,0.023332321779866536,-0.04098019998576966,0.01736818408268522,0.01843600425319826,-0.006951416770658053,0.016380905009208482,-0.02459929497656118
53,1419,2020-10-18,0.0006947515801411022,-0.025617879619573042,0.022887534193473405,-0.04133487430204034,-0.0007235671621342744,0.0006947515801411022,-0.02492312803943194,-0.0020355938459585346,-0.04337046814799887,-0.044094035310133145
54,1419,2020-10-25,-0.02616501500127985,0.022264199197666854,-0.04192617165148404,-0.0013188094797324489,-0.026445338973874015,-0.02616501500127985,-0.0039008158036129975,-0.045826987455097036,-0.04714579693482948,-0.0735911359087035
55,1419,2020-11-08,-0.041788316928677904,-0.0011545692989355701,-0.026101816121383244,-0.03682256326248396,-0.0031299840374657377,-0.041788316928677904,-0.042942886227613476,-0.06904470234899672,-0.10586726561148069,-0.10899724964894643
56,1419,2020-11-29,-0.03732971370924784,-0.0036498637077717506,-0.009256824978652597,-0.0007432201746926702,-0.01102499410594436,-0.03732971370924784,-0.04097957741701959,-0.05023640239567219,-0.05097962257036486,-0.06200461667630922
57,1419,2021-01-17,0.10306719618348985,0.013952887468256583,-0.07313708653441525,0.005329395284189145,0.01672592329411811,0.10306719618348985,0.11702008365174643,0.04388299711733118,0.049212392401520325,0.06593831569563843
58,1419,2021-01-24,0.01570681353938122,-0.07303211776347697,0.0060684895928475036,0.018913604786021124,-0.03928715899007533,0.01570681353938122,-0.05732530422409575,-0.051256814631248246,-0.03234320984522712,-0.07163036883530245
59,1419,2021-01-31,-0.07211209912637004,0.0069675588110363375,0.019764817455410016,-0.03841110724516979,0.03824434595482435,-0.07211209912637004,-0.0651445403153337,-0.045379722859923685,-0.08379083010509347,-0.04554648415026912
60,1419,2021-02-07,0.006512676569300768,0.01936541096583761,-0.03883930741986739,0.03780405937330938,0.016228743992860915,0.006512676569300768,0.02587808753513838,-0.012961219884729008,0.02484283948858037,0.041071583481441284
61,1419,2021-02-14,0.021596554581398947,-0.03782393327111299,0.03830910341641431,0.014970755496557894,0.017578482272482564,0.021596554581398947,-0.016227378689714043,0.022081724726700266,0.03705248022325816,0.054630962495740724
62,1419,2021-02-21,-0.03753944377423915,0.038588258355253174,0.015231481188728961,0.017830757455656765,-0.007228927361199323,-0.03753944377423915,0.0010488145810140237,0.016280295769742985,0.03411105322539975,0.026882125864200426
63,1419,2021-02-28,0.037020123954125655,0.012819754939970458,0.015032212330002098,-0.008475935628932351,0.04125581508313203,0.037020123954125655,0.049839878894096114,0.0648720912240982,0.05639615559516585,0.09765197067829788
64,1419,2021-03-07,0.012093875157962987,0.014136506454528894,-0.00869046625886643,0.04085785287976988,0.00498286942323313,0.012093875157962987,0.02623038161249188,0.01753991535362545,0.058397768233395334,0.06338063765662846
65,1419,2021-03-14,0.014031997594605744,-0.00890108049515032,0.040675811431857986,0.004760392993709053,0.07159482751633883,0.014031997594605744,0.0051309170994554235,0.04580672853131341,0.05056712152502246,0.1221619490413613
66,1419,2021-03-21,-0.00803338847797788,0.041840422917885804,0.005504816813515506,0.07273536316548598,0.04151792395612855,-0.00803338847797788,0.03380703443990792,0.03931185125342343,0.11204721441890941,0.15356513837503796
67,1419,2021-03-28,0.04194944602544087,0.005664515879558268,0.07284728989494241,0.041703317798221236,0.03517830198387427,0.04194944602544087,0.04761396190499914,0.12046125179994155,0.16216456959816278,0.19734287158203706
68,1419,2021-04-04,0.005961631834301592,0.07329610042449536,0.04191884347695455,0.035457519845229546,-0.04738476778075855,0.005961631834301592,0.07925773225879695,0.1211765757357515,0.15663409558098104,0.10924932780022249
69,1419,2021-04-11,0.07373284200901034,0.04237160361037343,0.03590590654274575,-0.04695730935455154,-0.02531647072469019,0.07373284200901034,0.11610444561938377,0.15201035216212952,0.10505304280757799,0.0797365720828878
70,1419,2021-04-18,0.04151913967725329,0.035070121918200595,-0.04771327822258981,-0.026169742547601356,-0.02245283491032048,0.04151913967725329,0.07658926159545389,0.028875983372864074,0.002706240825262718,-0.019746594085057762
71,1419,2021-04-25,0.03392655682701766,-0.04975271059417869,-0.027117027987651462,-0.02423088787125937,-0.04984638395913555,0.03392655682701766,-0.01582615376716103,-0.042943181754812494,-0.06717406962607186,-0.1170204535852074
72,1419,2021-05-02,-0.049994031182756665,-0.02713884326284144,-0.0244196750801326,-0.049970900885013755,-0.031804052063891725,-0.049994031182756665,-0.0771328744455981,-0.1015525495257307,-0.15152345041074444,-0.18332750247463617
73,1419,2021-05-09,-0.026873401444757618,-0.024150048167272127,-0.049702884884955945,-0.03153393082695727,-0.05180870733426002,-0.026873401444757618,-0.051023449612029745,-0.10072633449698569,-0.13226026532394297,-0.184068972658203
74,1419,2021-05-16,-0.024026208901777674,-0.04962000691476086,-0.031397522194372036,-0.05171303412015374,0.06235835765560347,-0.024026208901777674,-0.07364621581653853,-0.10504373801091058,-0.15675677213106431,-0.09439841447546085
75,1419,2021-07-18,-0.11407907960646022,-0.08715863875710324,-0.11535181382821119,0.09537047054193928,-0.025867606686790827,-0.11407907960646022,-0.20123771836356347,-0.31658953219177466,-0.22121906164983537,-0.2470866683366262
76,1419,2021-07-25,-0.0863137827037547,-0.11454749487476516,0.09621073567845241,-0.02536330855330609,-0.01060409495279685,-0.0863137827037547,-0.20086127757851985,-0.10465054190006744,-0.13001385045337352,-0.14061794540617037
77,1419,2021-09-05,0.11606119812157478,-0.09058088110816373,-0.027935055976547316,-0.027865793889029027,-0.029893274642921876,0.11606119812157478,0.025480317013411052,-0.002454738963136263,-0.03032053285216529,-0.06021380749508717
78,1419,2021-09-12,-0.08991965540664149,-0.027241130739774265,-0.027132840422078544,-0.029168198044948267,-0.10151599150973484,-0.08991965540664149,-0.11716078614641576,-0.14429362656849432,-0.1734618246134426,-0.2749778161231774
79,1419,2021-09-19,-0.02661421913254364,-0.026380242652146894,-0.028440966873279,-0.1010359811542585,-0.016688728737610334,-0.02661421913254364,-0.052994461784690534,-0.08143542865796953,-0.18247140981222804,-0.19916013854983838
80,1419,2021-09-26,-0.026964807527582547,-0.02900454408120108,-0.10139501425110092,-0.01709455103424686,-0.008608605042598281,-0.026964807527582547,-0.05596935160878363,-0.15736436585988456,-0.17445891689413143,-0.1830675219367297
81,1419,2022-01-16,-0.10441793336581637,-0.010057384808998766,0.02749859363375111,-0.024842197614652943,-0.02760166078980593,-0.10441793336581637,-0.11447531817481513,-0.08697672454106402,-0.11181892215571695,-0.1394205829455229
82,1419,2022-04-03,-0.024638904347627492,0.004448776631358626,0.018524163424711186,0.022227823760763533,0.023004974852923972,-0.024638904347627492,-0.020190127716268866,-0.0016659642915576797,0.020561859469205853,0.04356683432212982
83,1419,2022-05-01,0.023048846556485002,0.009831936114227825,-0.018355028966172724,0.049941982784620344,-0.12156003650506408,0.023048846556485002,0.03288078267071283,0.014525753704540106,0.06446773648916045,-0.05709230001590364
