,code,date,ar1,ar2,ar3,ar4,ar5,car1,car2,car3,car4,car5
0,3254,2019-12-17,-0.14699212936222536,-0.009367419414177427,0.049490853100616246,0.02397340369519868,0.09785192513640771,-0.14699212936222536,-0.1563595487764028,-0.10686869567578655,-0.08289529198058787,0.01495663315581984
1,3465,2017-08-14,,,,,,,,,,
2,3540,2017-12-14,0.0,1.1195122921920633,0.16225547924863226,-0.06534660010260862,0.042372789214456294,0.0,1.1195122921920633,1.2817677714406956,1.216421171338087,1.2587939605525433
3,4113,2021-10-29,0.03558920427723819,-0.00501683765020883,-0.01075263707423888,0.009840859170725814,0.005001673319783579,0.03558920427723819,0.03057236662702936,0.01981972955279048,0.029660588723516297,0.03466226204329988
4,4368,2018-05-08,-0.005152535969789722,0.06166171020376718,0.04486852683319156,0.02126707764961997,0.037313988967109926,-0.005152535969789722,0.05650917423397746,0.10137770106716902,0.122644778716789,0.15995876768389894
5,4726,2017-07-31,,,,,,,,,,
6,4849,2022-05-13,-0.15743359401697252,-0.02607876127412898,0.01614329641411044,-0.043045851897220516,0.05754329534751385,-0.15743359401697252,-0.1835123552911015,-0.16736905887699105,-0.21041491077421157,-0.15287161542669772
7,6070,2018-10-09,0.0048828273008353126,0.011553552929618058,0.03230480662868028,-0.0023808964729485054,0.002805106914570466,0.0048828273008353126,0.016436380230453372,0.04874118685913365,0.046360290386185145,0.049165397300755614
8,6284,2021-11-11,0.03961268450454543,-0.06568617860244151,0.014563767475881851,0.023229911327057116,0.010735408496447819,0.03961268450454543,-0.026073494097896083,-0.011509726622014231,0.011720184705042885,0.022455593201490702
9,6564,2018-01-31,,,,,,,,,,
10,6564,2018-02-01,,,,,,,,,,
11,6564,2018-02-02,,,,,,,,,,
12,6564,2018-02-05,,,,,,,,,,
13,6564,2018-02-06,,,,,,,,,,
14,6564,2018-02-07,,,,,,,,,,
15,6564,2018-02-08,,,,,,,,,,
16,6564,2018-02-09,,,,,,,,,,
17,6564,2018-02-13,,,,,,,,,,
18,6564,2018-02-14,,,,,,,,,,
19,6564,2018-02-15,,,,,,,,,,
20,6564,2018-02-16,,,,,,,,,,
21,6564,2018-02-19,,,,,,,,,,
22,6564,2018-02-20,,,,,,,,,,
23,6564,2018-02-21,,,,,,,,,,
24,6564,2018-02-22,,,,,,,,,,
25,6564,2018-02-23,,,,,,,,,,
26,6564,2018-02-26,,,,,,,,,,
27,6564,2018-02-27,,,,,,,,,,
