,code,date,ar1,ar2,ar3,ar4,ar5,car1,car2,car3,car4,car5
0,3371,2020-03-01,,,,,,,,,,
1,3540,2017-12-17,,,,,,,,,,
2,6564,2018-06-17,,,,,,,,,,
3,6564,2018-06-24,,,,,,,,,,
4,6564,2018-07-01,,,,,,,,,,
5,6564,2018-07-08,,,,,,,,,,
6,6564,2018-07-15,,,,,,,,,,
7,6564,2018-07-22,,,,,,,,,,
8,6564,2018-07-29,,,,,,,,,,
9,6564,2018-08-05,,,,,,,,,,
10,6564,2018-08-12,,,,,,,,,,
11,6564,2018-08-19,,,,,,,,,,
12,6564,2018-08-26,,,,,,,,,,
13,6564,2018-09-02,,,,,,,,,,
14,6564,2018-09-09,,,,,,,,,,
15,6564,2018-09-16,,,,,,,,,,
16,6564,2018-09-23,,,,,,,,,,
17,6564,2018-09-30,,,,,,,,,,
18,6564,2018-10-07,,,,,,,,,,
19,6564,2018-10-14,,,,,,,,,,
20,6564,2018-10-21,,,,,,,,,,
21,6564,2018-10-28,,,,,,,,,,
22,6564,2018-11-04,,,,,,,,,,
23,6564,2018-11-11,,,,,,,,,,
24,6564,2018-11-18,,,,,,,,,,
25,6564,2018-11-25,,,,,,,,,,
26,6564,2018-12-02,,,,,,,,,,
27,6564,2018-12-09,,,,,,,,,,
28,6564,2018-12-16,,,,,,,,,,
