,code,date,ar1,ar2,ar3,ar4,ar5,car1,car2,car3,car4,car5
0,1890,2022-03-27,0.0397250816555195,0.03598933169589126,0.09653565597035459,0.04875866845455988,-0.019407101426421963,0.0397250816555195,0.07571441335141077,0.17225006932176534,0.22100873777632524,0.20160163634990327
1,2353,2017-12-17,,,,,,,,,,
2,2737,2021-08-01,-0.07900640018251959,0.034727000002055745,-0.016939667922217364,0.045911313407924204,0.024526607962809338,-0.07900640018251959,-0.04427940018046384,-0.061219068102681205,-0.015307754694757002,0.009218853268052336
3,2929,2018-02-25,,,,,,,,,,
4,3540,2017-12-24,,,,,,,,,,
5,6409,2022-05-22,-0.008250031252804619,-0.022808696804082106,-0.01182488216016113,0.041402567444033804,-0.03637999676936118,-0.008250031252804619,-0.031058728056886725,-0.042883610217047854,-0.0014810427730140505,-0.03786103954237523
6,6533,2017-11-19,,,,,,,,,,
7,6564,2018-12-23,,,,,,,,,,
8,9873,2019-07-14,,,,,,,,,,
